image_name,feature_polarity,line_id,n_sections,valid_fraction,center_nm,CD_mean_nm,CD_median_nm,LWR_sigma_nm,LWR_3sigma_nm,LER_left_sigma_nm,LER_right_sigma_nm,LER_avg_sigma_nm,LER_avg_3sigma_nm,threshold_score,initial_width_nm
fig 005(1).tif,dark,1.0,638.0,0.9785276073619632,38.35665892339976,52.86983778990021,52.84720704806533,2.5944986162990498,7.783495848897149,2.198203178709609,1.7354378282545535,1.9668205034820812,5.9004615104462435,0.46057094794918174,51.9038591319195
fig 005(1).tif,dark,2.0,649.0,0.995398773006135,91.97261440851457,16.49406107127403,16.56887287049804,1.6594366865539536,4.978310059661861,1.1269824610508334,1.530859787832953,1.3289211244418933,3.9867633733256795,0.5582371046877143,16.2553897221419
fig 005(1).tif,dark,3.0,640.0,0.9815950920245399,142.34893356402875,56.680085975675624,56.434603547051715,3.6256547358128213,10.876964207438464,2.6063816489899594,2.1543450642151716,2.3803633566025653,7.141090069807696,0.44128413347223316,55.63152883735573
fig 005(1).tif,dark,4.0,649.0,0.995398773006135,192.9709385028599,13.69535812761575,13.578378610521128,1.6163894501558822,4.849168350467647,1.1661786874673528,1.0977506747491947,1.1319646811082738,3.3958940433248213,0.5628534647934138,13.520280831134627
fig 005(1).tif,dark,5.0,637.0,0.9769938650306749,240.69788927165717,54.45265925527447,54.70269137624581,3.133573233915563,9.40071970174669,1.6300745604288023,2.9814248972462027,2.3057497288375024,6.917249186512507,0.4218810098117333,53.55737537587517
fig 005(1).tif,dark,6.0,646.0,0.99079754601227,292.77507126745974,19.963219373473166,20.074016766740044,1.787543532508566,5.362630597525698,1.2450239463199169,1.3472878648031184,1.2961559055615175,3.8884677166845525,0.55071489185862,19.256620125167295
fig 005(1).tif,dark,7.0,641.0,0.9831288343558282,343.1799574745932,50.587331993548354,50.489448358097036,3.9301284291739913,11.790385287521975,2.577906314682023,2.3049239095772083,2.441415112129616,7.324245336388848,0.4353702646560592,49.92560305451131
fig 005(1).tif,dark,8.0,649.0,0.995398773006135,392.7825341105745,14.836107701736832,14.757528596309783,1.6326613972015092,4.897984191604527,1.1262104719933275,1.5367915199729791,1.3315009959831534,3.9945029879494602,0.5522980734466706,14.771967399404199
fig 005(1).tif,dark,9.0,638.0,0.9785276073619632,440.3874010245929,53.302125864278736,53.27575262049993,3.8932410657149035,11.67972319714471,2.7959540010234,1.8913984274556188,2.3436762142395096,7.031028642718528,0.42878048573024224,52.51925815000718
fig 005(1).tif,dark,10.0,645.0,0.9892638036809815,492.2944273353956,16.477209461301097,16.65294059715751,1.3549560023768055,4.064868007130416,1.0664887508502763,1.1194884209901312,1.0929885859202038,3.278965757760611,0.5656088754780666,16.011889387132413
fig 005(1).tif,dark,11.0,642.0,0.9846625766871165,540.617711437307,52.544680693109285,52.4159174580052,2.5110384117392894,7.533115235217869,2.0315960155957464,1.781946310967407,1.9067711632815767,5.72031348984473,0.4299587875542362,51.83243937468298
fig 005(1).tif,dark,12.0,649.0,0.995398773006135,591.2131430885688,15.471061357856218,15.420596527851671,1.703932349766166,5.111797049298498,1.0255916514113679,1.4674523582789125,1.2465220048451402,3.739566014535421,0.5573931082675624,15.231573389317656
fig 005(1).tif,dark,13.0,642.0,0.9846625766871165,639.8702091113993,53.13897243777214,53.61809875835115,2.9114765661021442,8.734429698306432,2.2698316677504438,2.199883359670976,2.23485751371071,6.70457254113213,0.4228249234043039,51.89181680033639
fig 005(1).tif,dark,14.0,649.0,0.995398773006135,691.9369854055708,19.986843818257206,19.95147481668687,2.1090152332711276,6.327045699813382,1.0210642980630322,1.7710396801851214,1.3960519891240768,4.18815596737223,0.5396926463420793,19.294590178671
fig 008(1).tif,dark,1.0,638.0,0.9785276073619632,38.35665892339976,52.86983778990021,52.84720704806533,2.5944986162990498,7.783495848897149,2.198203178709609,1.7354378282545535,1.9668205034820812,5.9004615104462435,0.46057094794918174,51.9038591319195
fig 008(1).tif,dark,2.0,649.0,0.995398773006135,91.97261440851457,16.49406107127403,16.56887287049804,1.6594366865539536,4.978310059661861,1.1269824610508334,1.530859787832953,1.3289211244418933,3.9867633733256795,0.5582371046877143,16.2553897221419
fig 008(1).tif,dark,3.0,640.0,0.9815950920245399,142.34893356402875,56.680085975675624,56.434603547051715,3.6256547358128213,10.876964207438464,2.6063816489899594,2.1543450642151716,2.3803633566025653,7.141090069807696,0.44128413347223316,55.63152883735573
fig 008(1).tif,dark,4.0,649.0,0.995398773006135,192.9709385028599,13.69535812761575,13.578378610521128,1.6163894501558822,4.849168350467647,1.1661786874673528,1.0977506747491947,1.1319646811082738,3.3958940433248213,0.5628534647934138,13.520280831134627
fig 008(1).tif,dark,5.0,637.0,0.9769938650306749,240.69788927165717,54.45265925527447,54.70269137624581,3.133573233915563,9.40071970174669,1.6300745604288023,2.9814248972462027,2.3057497288375024,6.917249186512507,0.4218810098117333,53.55737537587517
fig 008(1).tif,dark,6.0,646.0,0.99079754601227,292.77507126745974,19.963219373473166,20.074016766740044,1.787543532508566,5.362630597525698,1.2450239463199169,1.3472878648031184,1.2961559055615175,3.8884677166845525,0.55071489185862,19.256620125167295
fig 008(1).tif,dark,7.0,641.0,0.9831288343558282,343.1799574745932,50.587331993548354,50.489448358097036,3.9301284291739913,11.790385287521975,2.577906314682023,2.3049239095772083,2.441415112129616,7.324245336388848,0.4353702646560592,49.92560305451131
fig 008(1).tif,dark,8.0,649.0,0.995398773006135,392.7825341105745,14.836107701736832,14.757528596309783,1.6326613972015092,4.897984191604527,1.1262104719933275,1.5367915199729791,1.3315009959831534,3.9945029879494602,0.5522980734466706,14.771967399404199
fig 008(1).tif,dark,9.0,638.0,0.9785276073619632,440.3874010245929,53.302125864278736,53.27575262049993,3.8932410657149035,11.67972319714471,2.7959540010234,1.8913984274556188,2.3436762142395096,7.031028642718528,0.42878048573024224,52.51925815000718
fig 008(1).tif,dark,10.0,645.0,0.9892638036809815,492.2944273353956,16.477209461301097,16.65294059715751,1.3549560023768055,4.064868007130416,1.0664887508502763,1.1194884209901312,1.0929885859202038,3.278965757760611,0.5656088754780666,16.011889387132413
fig 008(1).tif,dark,11.0,642.0,0.9846625766871165,540.617711437307,52.544680693109285,52.4159174580052,2.5110384117392894,7.533115235217869,2.0315960155957464,1.781946310967407,1.9067711632815767,5.72031348984473,0.4299587875542362,51.83243937468298
fig 008(1).tif,dark,12.0,649.0,0.995398773006135,591.2131430885688,15.471061357856218,15.420596527851671,1.703932349766166,5.111797049298498,1.0255916514113679,1.4674523582789125,1.2465220048451402,3.739566014535421,0.5573931082675624,15.231573389317656
fig 008(1).tif,dark,13.0,642.0,0.9846625766871165,639.8702091113993,53.13897243777214,53.61809875835115,2.9114765661021442,8.734429698306432,2.2698316677504438,2.199883359670976,2.23485751371071,6.70457254113213,0.4228249234043039,51.89181680033639
