image_name,feature_polarity,scale_nm_per_px,scale_bar_px,n_lines,n_sections_total,CD_mean_nm,CD_median_nm,LWR_sigma_nm,LWR_3sigma_nm,LER_avg_sigma_nm,LER_avg_3sigma_nm,pitch_mean_nm
fig 005(1).tif,dark,0.72463768115942,NaN,16,9143,24.5112606629216,25.4149654217433,6.76639469007444,20.2991840702233,6.53133967396457,19.5940190218937,42.8898116229382
fig 008(1).tif,dark,0.72463768115942,NaN,16,9143,24.5112606629216,25.4149654217433,6.76639469007444,20.2991840702233,6.53133967396457,19.5940190218937,42.8898116229382
fig 009(1).tif,dark,0.72463768115942,NaN,16,9143,24.5112606629216,25.4149654217433,6.76639469007444,20.2991840702233,6.53133967396457,19.5940190218937,42.8898116229382
fig 014(1).tif,dark,0.72463768115942,NaN,19,10801,23.0748380009207,23.8761059366634,4.43731740279311,13.3119522083793,4.08029293851251,12.2408788155375,36.6899999535152
fig 015(1).tif,dark,0.72463768115942,NaN,19,10801,23.0748380009207,23.8761059366634,4.43731740279311,13.3119522083793,4.08029293851251,12.2408788155375,36.6899999535152
