image_name,feature_polarity,n_lines,n_sections_total,scale_nm_per_px,scale_bar_px,pitch_mean_nm,CD_mean_nm,CD_median_nm,LWR_sigma_nm,LWR_3sigma_nm,LER_avg_sigma_nm,LER_avg_3sigma_nm
fig 005(1).tif,dark,14.0,9014.0,0.7246376811594203,138.0,50.27540972939777,35.03568249436237,35.05625199657723,2.461681836470841,7.385045509412522,1.7431256342334156,5.2293769027002455
fig 008(1).tif,dark,14.0,9014.0,0.7246376811594203,138.0,50.27540972939777,35.03568249436237,35.05625199657723,2.461681836470841,7.385045509412522,1.7431256342334156,5.2293769027002455
fig 009(1).tif,dark,14.0,9014.0,0.7246376811594203,138.0,50.27540972939777,35.03568249436237,35.05625199657723,2.461681836470841,7.385045509412522,1.7431256342334156,5.2293769027002455
fig 014(1).tif,dark,19.0,12086.0,0.7246376811594203,138.0,37.41091800714868,24.696246434307444,24.943768630318992,3.549902495672964,10.649707487018894,2.494187824862405,7.482563474587216
fig 015(1).tif,dark,19.0,12086.0,0.7246376811594203,138.0,37.41091800714868,24.696246434307444,24.943768630318992,3.549902495672964,10.649707487018894,2.494187824862405,7.482563474587216
